Time & Date: 20:13:15 14-01-2024, Temperature: 23.20°C, Humidity: 55.20%
Time & Date: 20:14:15 14-01-2024, Temperature: 23.20°C, Humidity: 55.30%
Time & Date: 20:15:16 14-01-2024, Temperature: 23.30°C, Humidity: 55.10%
Time & Date: 20:16:13 14-01-2024, Temperature: 23.30°C, Humidity: 55.00%
Time & Date: 20:16:13 14-01-2024, Temperature: 23.30°C, Humidity: 55.00%
Time & Date: 20:16:14 14-01-2024, Temperature: 23.30°C, Humidity: 55.10%
Time & Date: 20:16:14 14-01-2024, Temperature: 23.40°C, Humidity: 55.10%
Time & Date: 20:16:15 14-01-2024, Temperature: 23.40°C, Humidity: 55.00%
Time & Date: 20:16:15 14-01-2024, Temperature: 23.40°C, Humidity: 55.10%
Time & Date: 20:16:16 14-01-2024, Temperature: 23.40°C, Humidity: 55.10%
Time & Date: 20:16:17 14-01-2024, Temperature: 23.40°C, Humidity: 55.10%
Time & Date: 20:16:17 14-01-2024, Temperature: 23.30°C, Humidity: 55.10%
Time & Date: 20:16:18 14-01-2024, Temperature: 23.40°C, Humidity: 55.00%
Time & Date: 20:16:18 14-01-2024, Temperature: 23.40°C, Humidity: 55.00%
Time & Date: 20:16:19 14-01-2024, Temperature: 23.40°C, Humidity: 55.00%
Time & Date: 20:16:53 14-01-2024, Temperature: 23.40°C, Humidity: 55.00%
